;text;option_1;option_2;option_3;option_4;rating
q25809;Is it okay to search your child's room, to make sure they aren't doing anything you don't want them to do?;Yes.;Only with probable cause.;No, their right to privacy is too important.;;
q42118;It's 2 AM. While driving home, you stop at an intersection with a red traffic light.  After waiting over six minutes, it still hasn't changed to green. No one seems to be around. What do you do?;Run the red light.;Continue to wait patiently.;Find a legal way to reroute, avoiding the light.;Abandon the vehicle and continue on foot.;
q21249;As a general rule, do you think glasses make a person look smarter?;Yes;No;Depends on the person;;
q18905;Would you pose nude for a magazine?;Yes;No;I'm Not Sure;;
q291;Would you prefer it if fashion models were the same size and bodytype as the average citizen?;Yes;No;;;
q23733;Have you ever been to a sex shop?;Yes;No;;;
q60892;Do you believe in fate?;Yes.;No.;;;
q57570;Have you ever taken free furniture somebody else left at the side of the road for use in your home?;Yes.;No.;;;
q465;If you dislike your food in a restaurant, do you typically send it back?;Yes;No;;;
q17106;Have you ever considered joining the Peace Corps or another similar 'intensive' volunteer program?;Yes;No way;;;
q78852;Do you believe that it is possible for two previously platonic friends to start having casual sex without affecting other aspects of their relationship?;Yes.;No.;;;
q19482;Teasing:;Fantastic, make me a sexual martyr;Good in moderation, only if something comes of it;Not so fun;Horrible, the work of evildoers;
q6019;If you're wrong, do you have a hard time apologizing?;Yes;No;;;
q23532;When you break up with someone, do you tell them the real reason(s) or do you try to let them down as easy as possible?;Tell the truth, no matter how much it hurts.;Go easy on them - they'll hurt enough as it is.;I've never been the dump-er;;
q56698;Do you enjoy any of the following cards games: Cribbage, Canasta, Gin, Euchre, Hearts, Spades, Pinochle?;Yes.;No.;I'm not sure.;;
q21814;Have you ever used LiveJournal, Tumblr, or any other blogging site?;Yes, I'm addicted;Yeah, once and a while.;No, what's all the hype about?;No way.;
q204;Which would you rather lose:;the ability to reproduce;the ability to orgasm;;;
q46875;Do you wear a seatbelt when you ride in an automobile?;Always.;Most of the time.;Usually not.;Never.;
q32057;Do you put the shopping cart back at the grocery shop?;Yes;No, I just leave it in the parking lot;I don't do this kind of grocery shopping;;
q50678;Do you like reading tabloids?;Yes.;No.;;;
q35409;You just prepared some food in your kitchen and made a mess.  Do you:;Clean up immediately.;Clean up immediately after eating.;Postpone the cleanup for later.;Not cleanup at all.;
q202;For a pet, would you prefer:;one from the pound;one from a champion breeder;;;
q156;Would you ever seriously date someone half your age?;Yes;No;;;
q476;Do you wear a lot of black?;Yes;No;;;
q15695;Do you believe there is some unique human quality that separates us from animals?;Yes, and it was given to us by God;Yes, but it has nothing to do with God;No, we are just animals;I dont know;
q52181;You're riding along in a friend's car when he or she throws some trash out the window.  How might you react?;I'd express my clear disapproval.;I'd make a disapproving sound or joke.;I wouldn't really care.;I'd throw my own trash out the window, too.;
q21135;How do you feel about 'straight edge' kids (kids who have made a movement out of not smoking, drinking, doing drugs, etc..)?;I think it's cool/respectable;They annoy the piss out of me;They don't bother me;;
q82;Have you ever tried Yoga?;Yes;No;;;
q333;Would you ever sleep with a porn star?;Yes;No;;;
q34794;What do you find most appealing in a television series, movie, or book?;Compelling action, drama, or total immersion.;Having empathy for the characters.;Underlying message or commentary.;Creativity by the actors or film makers.;
q68089;Would you like to go birdwatching with your partner?;Yes.;No.;I'm not sure.;;
q25;Would you watch a porno movie with your ideal match?;Yes;No;;;
q15366;"Which aspect of the salmon life cycle best corresponds with your current state in life?
I'm a(n)...";fry, eating in the stream where I was born.;smolt, moving on to life in the big ocean.;adult, fully developed, living in salt water.;spawner, with young, dead.;
q23311;Do you have good posture?;Yes;No;Sometimes, when the situation calls for it;;
q19219;Can you change a tire on your own?;Yes;No;;;
q82815;Are you a 'regular' at any bar, coffee shop or restaurant?;Yes.;No.;;;
q22569;Have you ever used a fake ID to do or acquire something you were legally barred from as a result of your age?;Yes;No;;;
q18636;Long walks on the beach...;So romantic!;So cheesy!;;;
q29859;What if you found out, just before the wedding, that the love of your life was sterile and unable to ever have kids?;Break off the wedding;Continue the wedding and adopt;Continue the wedding and not adopt;Celebrate and get married;
q35379;Upon first meeting, would you be most attracted to a person who:;Exudes overt sexuality;Is witty and charming;Is mysterious and elusive;Is the smartest duck in the room;
q201;Suppose you're driving, and you hit an animal. You don't know how badly it's hurt. Do you:;stop and look;keep going;;;
q9474;Would you date somebody who was a virgin at the age of 25?;Yes, definitely;Only if they were willing to give it up;No;;
q53832;If after years of being with a partner, you found out that they could not have children and would not be willing to adopt, would you want to stay with them?;Yes.;No.;I'm not sure.;;
q15365;Do you often have strong opinions about the government?;Yes;No;;;
q29211;Is a sinful or immoral thought just as bad as acting on that thought?;Yes, it's just as bad.;No, it's not as bad.;A thought can't be sinful or immoral.;I'm not sure.;
q33016;Do you enjoy nostalgic/old-fashioned items or antiques?;Antique stores are great for poking around in!;I'm a serious collector / I own such a store.;I could take or leave that stuff.;I'll take the DVD player for my watch, thanks.;
q45303;Have you kept any old love letters from ex-lovers?;Yes;No;I've never gotten any to keep.;;
q86773;When a date is coming to your house do you strategically place things (for example: books, CDs, DVDs, gadgets, etc.) to project a certain image?;Yes.;No.;;;
q27240;You've been gone for a day, and didn't tell your boyfriend/girlfriend where you were, you come to find ten messages on your answering machine from him/her. You find this...;Unsettling;A bit much, but understandable;Very sweet;I wouldn't think anything of it;
q1153;Sexually explicit art or song lyrics should be;Embraced as an art form;Accepted as free expression;Censored to protect society;;
q404;Do you read the news most days?;Yes;No;;;
q61157;Do you have a problem with people who wear leather clothing?;Yes.;No.;;;
q27915;Could you marry someone for a reason other than love (e.g. money, citizenship, sex, fame)?;Yes;No;Not sure / maybe;;
q286;Which are you MORE of?;Talented;Hardworking;;;
q12949;Would you consider dating someone who's had a gender change?;Yes;No;I'm Not Sure;;
q69714;Do you believe that heterosexual pornography is degrading to women?;Yes.;No.;Some is - Some isn't.;I'm not sure.;
q15748;Do you give in easily when pressured?;Yes;No;;;
q82273;Do you use hand sanitizer?;Yes.;No.;;;
q17732;If a clone was made of you, would you sleep with it?;Yes;No;I Don't Know;;
q64022;When buying groceries, do you usually bring reusable bags to carry your food in?;Yes.;No.;;;
q85590;Is it easy for you to throw away things that you don't really use anymore?;Yes.;No.;;;
q31111;Do you usually wash your hands before every meal?;Yes;No;;;
q30392;Would you be comfortable marrying a bisexual person;Yes;No;I'm Not Sure;;
q18650;If you could read minds, would you tell anyone?;Yes;No;;;
q48659;Would you consider having a serious relationship with an active porn star?;Yes.;No.;;;
q51833;What is the longest you have gone without sleep?;Less than 18 hours.;18 to 24 hours.;24 to 36 hours.;More than 36 hours.;
q13759;Parlez-vous français?;Yes;No;What?;Oui, je fais;
q9411;Do you like to go to museums?;Yes, a lot;Yes, a little;No;;
q34776;A bird has built a nest on your house or garage.  Do you knock it down?;Yes, I'm scared of birds;Yes, for some other reason or no reason at all;No, what's the big deal?;No, and I hang a feeder 20 feet away;
q18048;Could you date someone who is/was any sort of sex worker?;Sure. At least they know what they're doing.;No way!;Depends... what kind of sex worker?;The very notion of this question offends me.;
q127;Do you wear expensive designer clothes?;Yes;No;;;
q13142;Do you go to LAN parties?;Yes;No;What's a 'LAN party'?;;
q18663;Would you be willing to adopt a child?;Yes;No;I only want adopted children.;I don't want children.;
q437;Do you own or ride a motorcycle?;Yes;No;;;
q48758;Do you believe that courteous behavior, such as saying 'thank you' or holding a door, is important even when the other person involved does not deserve it?;Yes;No;;;
q81420;Would you mind if your significant other fantasizes about other people while having sex with you?;Yes.;No.;Maybe, it depends on who they are thinking about.;;
q49706;Imagine you are part of an expedition into a dark and foreboding forest.  Where in relation to the group would you prefer to walk?;Scouting alone in front of the group.;Near the front.;Near the rear.;In the middle.;
q288;What's a worse trait to have?;Greed;Laziness;;;
q459190;Who are you most likely to reveal a dark, provocative secret to?;My friends;My partner;A family member;No one... I keep my secrets to myself.;
q19649;Do you find body hair attractive?;Yes;No;Depends on where the hair is;;
q59038;Do you believe it is important to stay informed about political issues affecting your nation?;Yes.;No.;;;
q156768;Do you currently own or have you ever owned a suit/dress that cost $1000 or more?;Yes;No;;;
q1249;Watching cartoons as an adult is...?;Pathetic;Cool;I don't care either way / Not sure;;
q84028;Which Olympic Games do you most prefer to watch?;Winter.;Summer.;Both equally.;Neither.;
q21086;Those ___ want ___ go, ___.;two, to, too;to, to, to;too, two, to;two, too, too;
q1618;Would you date someone who has genital herpes?;Yes;No;;;
q65115;Would you ever consider having sex in a church?;Yes.;No.;;;
q15702;Do you believe that studying literature is beneficial?;Yes;No;;;
q81413;Where would you prefer to sit on an airplane?;Aisle seat.;Window seat.;Middle seat.;In the cockpit.;
q85272;'I need you' or 'I want you.'  Which would you prefer to hear a partner say?;I need you.;I want you.;;;
q458;If a close friend doesn't call you for a week, do you start worrying that he hates you?;Yes;No;;;
q351;Do you think you have ESP at all?;Yes;No;;;
q15513;On a warm night, a gentle rain begins and the sky is lit bright as day by occasional flashes of cloud-to-cloud lightning.  You:;Hide under the bed!;Ignore it.;Run to the window to watch.;Run outside to dance and play!;
q38210;After a date, have you ever told someone that you are going to call them, but not done it?;Yes.;No.;;;
q48494;When you get take-out food, do you usually eat out of the provided containers or transfer the food to dishes?;I usually eat out of the take-out containers.;I usually put the food in approrpriate dishes.;It depends upon the specifics.;I don't eat take-out.;
q18783;It's important that I smell good.;True;False;;;
q82728;Have you ever brought a stray animal home?;Yes.;No.;;;
q321;Generally speaking, are you a worrier?;Yes;No;;;
q85143;A billionaire falls in love with you and proposes marriage. You like them as a friend, but are neither in love nor attracted to them. Would you accept?;Definitely yes.;Probably yes.;Probably not.;Definitely not.;
q29843;If your date told you they were in the pornography business, in a non-sexual way (e.g. camera operator, lighting, directing) would it bother you?;Yes, a lot!;Yes, a little.;No, non-sexual's fine.;No, I'd encourage them to join the cast!;
q33593;Have you ever dated someone you didn't even like out of sheer loneliness?;Yes;No;;;
q85706;If you were in a committed long-term relationship and met someone you feel an even stronger attraction to, which would you do?;Continue current relationship, ignore attraction.;Explore both relationships simultaneously.;End the old relationship and pursue the new one.;;
q62286;Could Evolution and Intelligent Design both be right?;Yes.;No.;;;
q42329;If you were offered the opportunity to eat human meat prepared any way you like, would you at least try it?;Yes;No;Only as a last resort for survival;;
q80929;Would you consider dating someone who has no interest in sex and experiences no sexual attraction to either gender if they were otherwise perfect?;Yes.;No.;;;
q47012;Imagine you are put on hold while making a telephone call.  A song you like comes on while you wait.  Would you sing along?;Yes, definitely.;Probably.;Probably not.;No, defintely not.;
q461421;Which is scarier to reveal to a new partner?;Your emotions;Your body;Neither;Both equally;
q34662;How many books do you own?;Less than 5;5-25;25-50;50+;
q18513;Do you loathe or tremendously dislike most of the people you encounter?;Yes;No;;;
q678;Do you think that people should be allowed to marry more than one person at a time?;Yes;No;I don't know;;
q60834;How often do you listen to a portable media player that utilizes headphones or the equivalent so that only you can hear the music?;Frequently.;Sometimes.;Rarely.;Never.;
q19573;Do you value humility?;Yes;No;;;
q473;Do you have (or are you getting) a degree from one of the 8 ivy league universities, MIT, Stanford, Duke, U Chicago, or Caltech?;Yes;No;My degree is not from the U.S.;;
q16497;If you had first pick one of three desks, which one would you choose?;Conventional (spacious and most functional);Artistic (eg. shaped like a lion);Family Heirloom (five generations);;
q49345;Would you consider performing anilingus on a partner who asked you to?;Yes.;No.;;;
q29767;Suppose you have an attractive cousin, and the cousin is also attracted to you. Suppose both you and your cousin are adults. Would you have non-procreative sex with your cousin?;Yes;No;Maybe;Only if it was a cousin who I didn't grow up with;
q6109;You see a police officer.  How do you feel?;Safe;Nervous;;;
q73389;Would speaking in front of a large group make you nervous?;Yes.;No.;;;
q1212;Do you like dogs?  Would you consider owning a dog as a pet?;Yes, I would love (or do own) a dog.;I'm not too into them, but I wouldn't mind one.;No, I dislike dogs.;I like them, but I'm allergic.;
q19484;Do you ever want to punch people you don't know, right in the face, for superficial reasons (the way they grin, their clothes, their voice, etc.)?;Every day;It happens, but not often;Never;;
q428;Do you think people living in rural areas are more ignorant, on average, than city folks?;Yes;No;;;
q165;Are you totally anti-war?;Yes;No;;;
q19079;What style of online writing annoys you most?;It gt 2 b dis typ: cuz it showz dat dey is fik;ThIs TyPe: It JuSt LoOkS sTuPiD..;ALL CAPITALS: THE STYLE OF THE ATTENTION SEEKER!;Consistent proper English: We are not at school!;
q53260;If you were going to be marooned on a deserted tropical island, how big would you want the island to be?;Small (to know the entire island intimately);Medium (vast but familiar);Large (too big to explore all of it);;
q6520;What is the first definition for the word 'composition' that comes to mind?;The makeup of a mixture of ingredients;A piece of music;A piece of writing;An arrangement of visual elements;
q5886;Do you like old black-and-white movies?;Yes, they're great!;No, they're boring!;I don't know/I haven't seen any;;
q67024;How many pillows do you sleep with at night?;None.;One.;Two.;Three or more.;
q18398;You have a one-time opportunity to use a machine with a numbered dial, which, when turned, adds that number to both your IQ and your weight.  What do you do?;Turn it up -- I'd love the extra smarts.;Turn it down -- I'm smart 'n' chunky;Don't touch that dial -- I like myself as is.;;
q16535;Would you consider yourself child like (not to be confused with childish), that is having an aura of innocence, a playful attitude, and an expression/feeling of awe at new things.;Yes;No;;;
q49468;In terms of height, how do you compare to others of your sex?;I am taller.;I am shorter.;I am about average.;;
q42895;If asked, would you share the password to your email account with a significant other?;Yes.;No.;;;
q360;You are more romantic than most people you know.;True;False;;;
q18282;Have you ever donated your money or your time to a political campaign or political organization?;Yes;No;;;
q627;Would you have a sexual relationship with a friend even if you both knew you were romantically incompatible?;Yes;No;;;
q8209;Improvisational theatre:;I improvise!;I like to watch;I can take it or leave it;Please, no;
q86118;As an adult, have you ever cried just to get what you wanted?;Yes.;No.;;;
q76533;Would you buy cigarettes for a fifteen year old who asked you to?;Yes.;No.;;;
q62889;For people who are in exclusive relationships, is masturbation a form of infidelity?;Yes.;No.;;;
q17620;How organized are the files on your computer?;Very - Many Folders and Subfolders;Somewhat - I can find most things;Scattered - Everything thrown together;;
q56014;Ideally, what portion of your total hobbies and other recreational activities would you like to share as common with a partner?;All.;None.;Up to one-half.;More than one-half.;
q85867;How often do you skimp on sleep during the week and 'catch up' on it during the weekend?;Routinely.;Somewhat often.;Only under special circumstances.;Never.;
q45613;Does the idea of actively participating in the reenactment of historical events interest you?;Yes.;No.;I'm not sure.;;
q42791;Your significant other wants to go to a strip club with a few friends. What are your thoughts on this?;I'm completely against it.;I don't like it, but doesn't bother me that much.;No, I'm not against it at all / I'd go with them.;I would be upset, but I'd let them go.;
q15789;What kind of movie would you be most likely to play a leading part in?;Action;Drama;Comedy;Horror;
q1138;Have you ever been to prison?;Yes;No;Just to visit / I was working;;
q48278;Would you consider dating someone who is already involved in an open or polyamorous relationship?;Yes.;No.;;;
q451;Do you think the basic instinct to survive and reproduce fundamentally drives every decision a person makes?;Yes;No;;;
q64239;Do you have any close friends who are more than ten years older or younger than you?;Yes, they are more than ten years older than I.;Yes, they are more than ten years younger than I.;Yes, both of the above.;No.;
q62821;When sick, do you prefer the company of others or to be left alone?;I prefer company.;I prefer to be left alone.;;;
q82572;When is it most appropriate for a transgender person to reveal their transgender status to a match?;It should be clearly stated in their profile.;During messaging prior to meeting in person.;Prior to having intimate contact or sex.;Never.;
q84696;Have you ever had a 'full body' orgasm?;Yes.;No.;I'm not sure.;;
q712;Do you think a girl with hairy underarms is necessarily unattractive?;Yes;No;;;
q386;If someone intentionally damaged your property, would you be more likely to call the police, or to fight them?;Call the police;Fight them;;;
q15778;Would you be interested in someone who is highly involved with their large, extended family?;Yes;No;I'm Not Sure;;
q17768;You are more likely to have an orgasm via;Intercourse;Oral sex;Masturbation;Sheer force of will;
q83;Do you enjoy gossip?;Yes;No;;;
q36877;Men who wax their chests are...;SEXY!;A little vain in my book.;Kinda creepy.;I don't care.;
q19813;Is it better to live by your own moral standards and allow others to live by theirs, or is it better to press your moral standards upon other people?;Live and let live;Press those morals!;;;
q81396;Would you swim in a natural body of water without being able to see or touch the bottom?;Yes.;No.;I can't swim.;;
q36823;Stereo on during sex?;Always.;It depends on the music.;It depends on the sex.;Never.;
q18299;Is exposure to sexuality damaging to the minds of children?;Yes;No;;;
q6527;Do you talk to and or have conversations with yourself, either outloud or in your head?;Yes, outloud;Yes, in my head;Yes, both;No, neither;
q67511;Suppose you're dating someone who seems to have long-term potential. You discover that they want to urinate on you during sex. Would you consider staying with this person?;Yes.;No.;;;
q39337;Which olfactory strategy would you prefer a partner take when on a date with you?;Perfume / aftershave / cologne.;Antiperspirant or subtle deodorant only.;Clean and natural.;Sweatiness is Godliness.;
q51360;Do you think that masturbation is an acceptable practice?;Yes.;No, it is unhealthy.;No, it is against my beliefs.;No, it is both unhealthy and against my beliefs.;
q180;Have you ever cheated on an exam?;Yes;No;;;
q2792;Are military uniforms a turn on?;Yes;No;I wear one to work;;
q85481;Imagine your date starts groping you in the car while you're driving. Which would you be most likely to do?;Pull over immediately and return the favor.;Find the nearest hotel room.;Roll with the flow and keep driving.;Tell them to stop.;
q15876;Is separation of church and state important to you?;Yes;No;;;
q13109;When you ride an (uncrowded) escalator, do you...;Take steps up;Enjoy the ride;I'm afraid of escalators;;
q19692;Are you grossed out by acne ?;Totally;I can tolerate it in moderate amounts;Not at all;;
q484;Do you have strong feelings about what kind of computer you use? (Apple, PC, or UNIX, for example);Yes;No;;;
q48779;Imagine that your partner has a horrible accident and is left in a coma and on life support.  The odds of improvement are nil.  Your partner's living will states that life support should be removed in this scenario.  Which would you do?;Remove the life support immediately.;Follow proper procedures to get it removed.;Walk away and let others decide.;Fight to keep partner alive.;
q1274;A few long, slow, deep kisses or lots of sweet little kisses?;Long, slow;Sweet Little;Ugh! Kissing!;;
q40775;How often are you tested for STDs?;Never;Before/After every new partner;Regularly;Only when I'm worried about specific one;
q47005;If it comes to having children, would you prefer to adopt or to be one of the biological parents?;I would rather be one of the biological parents.;I would rather adopt.;Either would be equally fine.;Neither - I'd prefer to not have children at all.;
q19449;Have you ever gone white water rafting?;Yes, I love it;No, never;Yes, but never again;No, but I'd like to;
q53858;Do you care whether or not humanity survives beyond your own lifetime?;Yes.  I hope it does.;Yes.  I hope it does not.;No.;;
q51774;What is your position on hunting?;I approve of hunting for food and sport.;I approve of hunting for food only.;I do not approve of hunting at all.;;
q1406;Do you think that smarter people are usually capable of deeper love?;Yes;No;;;
q70455;Have you ever randomly followed a stranger because you found them attractive?;Yes.;No.;;;
q90;On a daily basis, do you spend a lot of time trying to make yourself look good?;Yes;No;;;
q23811;Do you often find yourself wondering 'What the hell was I thinking when I did that?';Yes, all the time.;Yes, sometimes.;No, never.;;
q9640;'It's not that I'm lazy, it's that I just don't care.'  Does this statement apply to you?;Yes;No;;;
q59469;Would you like to have someone strap on a dildo and put it inside you?;Yes.;No.;;;
q71396;Do you like to watch the Olympic Games?;Yes, as much as possible.;No, they do not interest me.;I only watch certain events.;I only watch athletes from my country.;
q70468;Have you ever lived outside the country of your citizenship for a single period that exceeds three months?;Yes.;No.;;;
q18095;One of your friends flirts with your ex, what do you feel?;Jealous;Happy for them;It doesn't make any difference;Not sure;
q12210;Would you describe yourself as sexy?;Yes;No;;;
q46644;Tongue rings - Hot or Not?;Hot.;Not.;;;
q43962;How often do you read a newspaper?;Every day.;At least once a week.;Less than once a week.;Never.;
q30957;Do you find freckles attractive?;Yes;No;I'm Not Sure;It depends where on the body they are;
q1688;Do you think you could still be genuinely happy if you weren't in a relationship with anyone?;Yes;No;;;
q278;How good is your singing voice?;Really awesome, actually;Very good;Okay;Crappy;
q38578;If you had to choose one of the following, which best describes the role of sex in your life?;Sex is one of my favorite activities.;Sex is something I enjoy on occasion.;Sex is for procreation.;Sex is a means to getting things that I want.;
q42;Is your duty to religion/God the most important thing in your life?;Yes;No;;;
q74188;When it comes to travel, which do you prefer, trains, planes, or automobiles?;Trains.;Planes.;Automobiles.;I don't have a favorite.;
q37746;Do you enjoy visiting amusement parks?;Yes.;No.;I'm not sure.;;
q12556;Do you try to eat healthy, or do you just eat whatever you feel like?;Healthy;Give me the junk food;;;
q13112;How fast do you walk?;I walk quickly.;I'm in the middle.;I walk slowly.;;
q26678;Do you think someone's faults/imperfections generally make them more attractive?;Yes;No;;;
q43827;Are you comfortable eating with chopsticks?;Yes.;No.;;;
q8439;Someone you like is drunkenly flirting with you. You know that with a sober mind this person would never engage in casual sex, but now it seems that they're willing. What do you do?;Take advantage of the situation;Absolutely nothing;;;
q41733;Have you ever gone mountain climbing?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;
q75;How do you like your social plans?;Settled and decided;Tentative;;;
q12822;Have you ever told someone that you loved them when you didn't?;Yes;No;;;
q12560;Might you consider dating someone who confided to you that he/she had a sexually transmitted disease?;Yes;No;;;
q9514;Which is more desirable in a mate? Someone who:;rarely makes mistakes, never apologizes when wrong;makes mistakes often but always admits faults;;;
q35894;Does showering or bathing with your significant other appeal to you?;Yes;No;Only bathing;Only showering;
q81958;Does SCUBA diving interest you?;Yes, and I am a diver.;Yes, but I am not a diver.;No, but I used to dive.;No, and I don't want to dive.;
q20096;Who would you rather compete against?;Someone less skilled than yourself;Someone evenly matched;Someone more skilled;;
q40457;Have you ever secretly sniffed an undergarment of someone you had a crush on but were not sexually involved with?;Yes.;No.;;;
q70762;When you're alone, do you talk to yourself out loud?;Yes, always.;Yes, sometimes.;Yes, but only rarely.;No, never.;
q8079;How many hours a day do you prefer to sleep?;Around 8 hours;A lot less than 8 hours;More than 8 hours;;
q83808;Would you ever consider a relationship where you would take on an exclusive sexual role as master or slave?;Yes, as the master only.;Yes, as the slave only.;Yes, as the master or the slave.;No.;
q42957;Do you use the word 'ain't' in everyday conversation?;Yes;No;;;
q2017;Would you consider dating someone who was regularly seeing a therapist?;Yes;No;;;
q231;Cell phones: good or evil?;Good;Evil;;;
q57847;Do you kiss with your eyes open or closed?;Open.;Closed.;It depends.;;
q26387;Do you bring up STD results/risk factors before you start fooling around?;No, not usually;Only when I suspect there might be risk involved;Not always, but I always use condoms/barriers;Always.;
q72318;Would you consider inviting someone to bed with you for clearly-stated non-sexual purposes (e.g., cuddle and sleep only) on a first date?;Yes.;No.;;;
q454;As an adult, have you ever been single for more than a year straight?;Yes;No;;;
q13106;Would you ever consider being a vegetarian or a vegan?;I am one!;No way!;I'd consider it.;I'm partially there already.;
q46536;How important is it to be able to 'agree to disagree'?;Very important.;Somewhat important.;Not important.;;
q79134;How often do you have trouble sleeping at night?;Always.;Frequently.;Rarely.;Never.;
q42190;Would you consider dating someone who frequently gambles with large sums of money?;Yes.;No.;;;
q83677;Have you ever lead someone on romantically just for fun?;Yes.;No.;;;
q6017;If you dropped a piece of solid food on the floor, might you pick it up and eat it?;Yes;No;;;
q6413;Would you have sex with someone you hated?;Yes;No;;;
q20;BDSM: Without looking it up, do you know exactly what it stands for?;Yes;No;;;
q36;Would you ever consider an open marriage? That means you can sleep with other people.;Yes;No;;;
q24;Is it wrong to watch pornographic films if you're in a relationship?;Yes;No;;;
q82778;Which of the following broad gender descriptions are you most attracted to?;Femininity.;Masculinity.;Androgeny.;No preference.;
q28537;Do you find glasses on the opposite sex attractive?;Yes;No;No Preference;;
q64193;Is owning a distinctive car important to you?;Yes.;No.;;;
q273;Do you know how to drive a stick shift (manual transmission)?;Yes;No;;;
q63165;If you were performing oral sex on a partner who accidentally farted, how do you think you would react?;I'd laugh.;I'd be disgusted;I'd think nothing of it.;Oral sex?  I don't think so.;
q82731;Is it possible for you to like someone whom you don't respect?;Yes.;No.;;;
q59919;Have you ever stolen a glass from a bar?;Yes.;No.;;;
q7273;Were you in love with the first person you ever slept with?;Yes;No;I'm a virgin;;
q868;Is it wrong to cultivate or manufacture illegal drugs?;Yes, always;No, never;Sometimes;;
q67651;What kind of education did you have growing up?;Private school.;Public school.;Home school.;Some combination of the above.;
q42932;Have you ever ridden a horse?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;
q85919;Do you find that extremely intelligent people are intimidating?;Yes.;No.;;;
q61843;Would you prefer to drive a car with a manual shift or an automatic transmission?;Manual.;Automatic.;It depends on the car or on the situation.;It makes no difference to me.;
q58162;Would you consider having sex in a graveyard?;Yes, anything goes.;Yes, but only with the living.;No.;;
q152;If you had a one-night stand DURING a relationship, would you confess to your mate?;Yes;No;;;
q401;Are you very close to your family?;Yes;No;;;
q12832;Do you talk about your sex life with either of your parents?;Yes;No;;;
q21729;Is satanism acceptable?;Sure;Yes, it seems a bit immature though.;No, it is wrong.;I don't know/care.;
q169;Should the death penalty be abolished?;Yes;No;;;
q27177;When planning future activities with your significant other(s), do you generally like to take the lead?;Yes, most of the time;Share equally;No, I'm not a planner. Help!;;
q1640;Which do you cause more of?;Order;Chaos;;;
q85440;In an ideal world, who would get the highest priority in your life?;My parents.;My children.;My significant other.;Myself.;
q229;Do you think humans have enough respect for the Earth's other species?;Yes, too much;Yes, about right;No;;
q37893;When playing games with friends, which is more important to you?;Winning.;Having fun.;Neither, I do not play games with my friends.;I don't have any friends.;
q47589;You witness your next door neighbors discreetly smoking marijuana on their own property.  How do you respond?;I call the police immediately.;I warn them that next time I'll call the police.;I ask them if I can join in.;I don't . I'm as friendly (or not) as always.;
q37146;Is there any aspect of your sexuality that you would be too embarrassed to ever share with a match?;Yes;No;;;
q35385;How often in conversation are you likely to use an exact quote from a movie, play, or TV show?;Once a day or more.;Every few days or so.;Once a week or less.;I never do this or I no longer do this.;
q86275;When you go out for dinner, which best describes the type of establishments you visit the most?;Fast Food.;Casual Dining.;Fine Dining.;;
q508;Do you like holding hands?;Yes;No;;;
q61278;How would you react if a partner bought you an outfit to be worn during sex?;Positively.;Negatively.;Indifferently.;It would depend upon the outfit.;
q54354;Which of the following senses do you find sexiest?;Sight.;Smell or taste.;Hearing.;Touch.;
q25421;A difference of opinion over which of the following topics would most likely make you think twice about dating someone?;Abortion;Politics;Death Penalty;None of these would.;
q258;Did America really put a man on the moon?;Yes;No;;;
q85310;Have you ever driven a motor vehicle over 100mph (161kph)?;Yes.;No.;;;
q18664;How often do you walk around barefoot?;Always;Often;Rarely;Never;
q20662;Could you date someone who loved you with all their heart, and whom you liked a lot, but who was terrible in bed?;Yes;No;I'm Not Sure;;
q12428;Would you risk your life to save a dying animal?;Yes;No;;;
q63930;Imagine that you win an 8-figure lottery (i.e., $10M or more).  Which of the following would be closest to how you would handle the winnings?;Buy all those toys.;Invest for the future.;A balance of the above.;Give to family, friends, and/or charity.;
q35593;If married, when would you expect your partner to wear a wedding ring?;Most or all of the time.;Some of the time.  It's situation dependent.;Seldom or not at all.;Only when they want to.;
q133;Are you physically strong?;Yes, very;Average;No, not really;;
q14833;Would you walk up to a stranger and tell them you think they're beautiful?;Yes / probably;No / probably not;;;
q579;Do you feel that animals are more important than humans?;Yes;No;;;
q9422;Do you enjoy watching B movies or so-called 'cult classics'?;Yes;No;What are B movies/cult classics?;;
q6619;Do you feel Art has heavily influenced who you are?;Yes;No;;;
q48664;Have you ever seen a ghost?;Yes.;No.;;;
q8197;Would you date someone who worked a minimum wage job?;Yes;No;;;
q64436;Do scars turn you on?;Yes.;No.;;;
q80081;Do you like going to amusement parks?;Yes.;No.;;;
q36355;Would you consider dating someone who has extensive facial tattoos?;Yes.;No.;;;
q28742;Is it okay for a married person to play around with someone with the permission of their spouse?;Yes;No;;;
q35252;Do you mind getting really dirty working or playing outside?;No - I'm never clean!;No - I clean up well.;Yes - I hate dirt!;;
q22198;If you were out to dinner and your date was a vegetarian would you still order meat?;Yes;No;I'm Not Sure/ I would ask them first;I'm vegetarian too;
q61170;Has anyone ever accused you of being 'high maintenance'?;Yes.;No.;;;
q18691;Is it important to be friends before being lovers ?;Yes;No;I'm Not Sure;;
q57381;Do you believe you have the right to forbid your significant other anything?;Yes.;No.;;;
